 932
e    38  34  927110   7.25759999999046E+0005
e    39  34  926768   2.55600000000000E+0004
n    40  34  922475  -8.69999999999891E-0001
e    41  34  922522   1.03507200000000E+0007
n    42  34  919212  -9.00000000000000E+0000
n    43  34  919913  -7.59999999999854E+0000
n    44  34  917308  -2.35000000000000E+0001
b    45  34  918498   1.89000000000200E+0012
n    46  34  916520  -4.97999999999884E+0001
b    47  34  917991   1.11000000000000E+0003
n    48  34  916698  -9.19999999999709E+0000
b    49  34  919117   1.35000000000000E+0003
b    50  34  918463   1.98000000000000E+0002
e    41  35  924528   5.79600000000000E+0004
e    42  35  921378   2.05200000000000E+0005
e    43  35  921144   3.87600000000093E+0002
n    44  35  918336  -5.06900000000023E+0001
b    45  35  918528   1.05600000000000E+0003
n    46  35  916289  -4.93099999999977E+0001
b    47  35  916802   1.27080000000000E+0005
b    48  35  915179   8.60400000000000E+0003
b    49  35  916503   1.90800000000000E+0003
b    50  35  915612   1.74000000000000E+0002
e    39  36  931029   2.58000000000000E+0002
e    40  36  925959   5.32800000000000E+0004
e    41  36  924610   4.50000000000000E+0003
n    42  36  920396  -3.56000000000222E-0001
e    43  36  920084   1.26000000000000E+0005
n    44  36  916380  -2.27000000000044E+0000
e    45  36  916590   6.61500000000000E+0012
n    46  36  913482  -1.16000000000058E+0001
n    47  36  914135  -1.15000000000000E+0001
n    48  36  911507  -5.70000000000000E+0001
b    49  36  912531   3.37050000000000E+0008
n    50  36  910616  -1.72999999999884E+0001
b    51  36  913360   4.56000000000000E+0003
b    52  36  914453   1.02240000000000E+0004
b    53  36  917640   1.90800000000047E+0002
e    45  37  918195   7.50000000000000E+0001
e    46  37  915144   7.44767999999237E+0006
e    47  37  914390   2.84256000000381E+0006
n    48  37  911794  -7.21699999999255E+0001
b    49  37  911172   1.62431999999809E+0006
n    50  37  909187  -2.78299999999872E+0001
b    51  37  911326   1.06800000000000E+0003
b    52  37  912278   9.12000000000000E+0002
b    53  37  914811   1.53000000000000E+0002
e    43  38  923270   1.32000000000000E+0003
e    44  38  918414   2.16000000000000E+0006
e    45  38  917566   2.79936000000381E+0006
n    46  38  913430  -5.60000000000400E-0001
e    47  38  912937   5.59872000000763E+0006
n    48  38  909267  -9.80000000000291E+0000
n    49  38  908884  -7.00000000000000E+0000
n    50  38  905619  -8.25999999999767E+0001
b    51  38  907450   4.36320000000000E+0006
b    52  38  907738   9.07200000000000E+0008
b    53  38  910187   3.42000000000000E+0004
b    54  38  910944   9.72000000000000E+0003
b    55  38  913987   4.44000000000000E+0002
e    45  39  920310   2.34000000000000E+0003
e    46  39  916437   9.72000000000000E+0003
e    47  39  914893   5.29200000000000E+0004
e    48  39  910882   2.89080000000000E+0005
e    49  39  909508   9.21024000000000E+0006
n    50  39  905849  -1.00000000000000E+0002
b    51  39  907152   2.30760000000000E+0005
b    52  39  907303   5.05440000000000E+0006
b    53  39  908917   1.27440000000000E+0004
b    54  39  909571   3.67200000000000E+0004
b    55  39  911597   1.12200000000000E+0003
e    47  40  914817   5.76000000000000E+0003
e    48  40  910225   7.20576000000000E+0006
e    49  40  908890   2.82240000000000E+0005
n    50  40  904703  -5.15000000000000E+0001
n    51  40  905644  -1.11999999999971E+0001
n    52  40  905039  -1.71000000000058E+0001
b    53  40  906474   4.72500000000000E+0013
n    54  40  906315  -1.73999999999942E+0001
b    55  40  908042   5.52960000000000E+0006
n    56  40  908275  -2.79999999999927E+0000
b    57  40  910950   6.08400000000000E+0004
b    58  40  912735   3.10000000000000E+0001
e    48  41  913449   7.20000000000000E+0003
e    49  41  911263   5.25600000000000E+0004
e    50  41  906991   2.20500000000000E+0010
e    51  41  907192   1.10250000000000E+0015
n    52  41  906377  -1.00000000000000E+0002
b    53  41  907281   6.30000000000000E+0011
b    54  41  906835   3.02400000000000E+0006
b    55  41  908100   8.42400000000000E+0004
b    56  41  908097   4.32000000000000E+0003
e    48  42  913933   2.04120000000000E+0004
e    49  42  911755   9.30000000000000E+0002
n    50  42  906808  -1.48000000000029E+0001
e    51  42  906813   1.10250000000000E+0011
n    52  42  905085  -9.30000000000291E+0000
n    53  42  905841  -1.58999999999942E+0001
n    54  42  904679  -1.67000000000116E+0001
n    55  42  906021  -9.60000000000582E+0000
n    56  42  905407  -2.41000000000058E+0001
b    57  42  907711   2.37600000000000E+0005
n    58  42  907477  -9.60000000000582E+0000
b    59  42  910345   8.76000000000000E+0002
e    51  43  909654   1.75800000000000E+0004
e    52  43  907657   7.20000000000000E+0004
e    53  43  907870   3.71520000000477E+0005
e    54  43  906364   8.19000000000000E+0013
b    55  43  907215   1.32299999999872E+0014
b    56  43  906254   6.74100000000000E+0012
b    57  43  907657   1.58000000000029E+0001
e    50  44  911361   3.12000000000000E+0003
e    51  44  910414   5.94000000000000E+0003
n    52  44  907599  -5.50000000000000E+0000
e    53  44  907556   2.48832000000000E+0005
n    54  44  905287  -1.85000000000036E+0000
n    55  44  905939  -1.26999999999971E+0001
n    56  44  904219  -1.26000000000058E+0001
n    57  44  905582  -1.70000000000000E+0001
n    58  44  904348  -3.16000000000058E+0001
b    59  44  906323   3.40416000000381E+0006
n    60  44  905424  -1.87000000000116E+0001
b    61  44  907744   1.59840000000149E+0004
b    62  44  907321   3.21408000000000E+0007
b    63  44  910130   2.28000000000000E+0002
e    53  45  910716   5.22000000000000E+0002
e    54  45  908192   1.39104000000000E+0006
e    55  45  908116   7.48800000000000E+0004
e    56  45  906159   1.03950000000000E+0008
e    57  45  906814   9.13500000000000E+0007
n    58  45  905500  -1.00000000000000E+0002
b    59  45  906651   4.22999999999884E+0001
b    60  45  905686   1.27440000000119E+0005
b    61  45  907279   2.97999999999884E+0001
e    53  46  911763   1.28400000000000E+0003
e    54  46  908527   3.11040000000000E+0005
e    55  46  908287   3.06000000000000E+0004
n    56  46  905634  -1.00000000000000E+0000
e    57  46  906114   1.46880000000000E+0006
n    58  46  904029  -1.10000000000000E+0001
n    59  46  905079  -2.22000000000116E+0001
n    60  46  903478  -2.72999999999884E+0001
b    61  46  905127   2.04750000000000E+0014
n    62  46  903895  -2.67000000000116E+0001
b    63  46  905954   4.82400000000000E+0004
n    64  46  905167  -1.18000000000029E+0001
b    65  46  907660   1.38000000000000E+0003
b    66  46  907323   7.56000000000000E+0004
e    56  47  908980   3.94199999999627E+0003
e    57  47  908623   4.15200000000000E+0003
e    58  47  906520   3.56832000000000E+0006
e    59  47  906662   1.44000000000000E+0003
n    60  47  905092  -5.18300000000163E+0001
b    61  47  905952   1.44000000000000E+0002
n    62  47  904756  -4.81699999999837E+0001
b    63  47  906111   2.43999999999942E+0001
b    64  47  905295   6.43680000000000E+0005
b    65  47  907010   1.13040000000000E+0004
e    56  48  908851   3.48000000000000E+0003
e    57  48  909459   3.36000000000000E+0003
n    58  48  906461  -1.25000000000000E+0000
e    59  48  906613   2.34000000000000E+0004
n    60  48  904176  -8.90000000000327E-0001
e    61  48  904953   4.00032000000000E+0007
n    62  48  903005  -1.25000000000000E+0001
n    63  48  904182  -1.28000000000029E+0001
n    64  48  902757  -2.41000000000058E+0001
n    65  48  904400  -1.21999999999971E+0001
n    66  48  903357  -2.87000000000116E+0001
b    67  48  905430   1.92240000000000E+0005
n    68  48  904755  -7.50000000000000E+0000
b    69  48  907228   8.64000000000000E+0003
b    70  48  911700   3.01800000000000E+0003
e    61  49  907230   4.14600000000000E+0003
e    62  49  905109   2.44511999999762E+0005
e    63  49  905536   8.64000000000000E+0002
n    64  49  904061  -4.30000000000291E+0000
b    65  49  904916   7.19000000000233E+0001
n    66  49  903882  -9.56999999999534E+0001
b    67  49  905264   1.41000000000058E+0001
b    68  49  904517   2.62800000000000E+0003
e    59  50  911294   1.08000000000000E+0003
e    60  50  907858   1.47600000000000E+0004
e    61  50  907741   2.10000000000000E+0003
n    62  50  904826  -1.10000000000036E+0000
e    63  50  905176   9.94464000000000E+0006
n    64  50  902784  -7.60000000000218E-0001
n    65  50  903348  -3.80000000000109E-0001
n    66  50  901747  -1.46000000000058E+0001
n    67  50  902956  -7.75000000000000E+0000
n    68  50  901609  -2.42999999999884E+0001
n    69  50  903311  -8.60000000000582E+0000
n    70  50  902199  -3.24000000000233E+0001
b    71  50  904239   9.75600000000000E+0004
n    72  50  903440  -4.55999999999767E+0000
b    73  50  905722   1.11456000000000E+0007
n    74  50  905274  -5.63999999999942E+0000
b    75  50  907785   8.31168000000954E+0005
b    76  50  907654   3.15000000000000E+0012
b    77  50  910355   7.55999999999255E+0003
e    67  51  905534   2.16000000000000E+0002
e    68  51  903948   1.36800000000000E+0005
e    69  51  905077   9.48000000000000E+0002
n    70  51  903821  -5.72999999999884E+0001
b    71  51  905179   2.33280000000000E+0005
n    72  51  904216  -4.27000000000116E+0001
b    73  51  905938   5.20128000000000E+0006
b    74  51  905252   8.50500000000000E+0007
b    75  51  907250   1.07136000000000E+0006
b    76  51  906919   3.32640000000000E+0005
e    65  52  908630   3.72000000000000E+0003
e    66  52  905908   5.18400000000000E+0005
e    67  52  906411   5.76000000000000E+0004
n    68  52  904048  -9.10000000000082E-0002
e    69  52  904947   1.45151999999809E+0006
n    70  52  903050  -2.50000000000000E+0000
n    71  52  904271  -8.90000000000327E-0001
n    72  52  902818  -4.59999999999854E+0000
n    73  52  904429  -7.00000000000000E+0000
n    74  52  903310  -1.87000000000116E+0001
b    75  52  905221   3.38400000000000E+0004
n    76  52  904463  -3.17000000000116E+0001
b    77  52  906594   4.14000000000000E+0003
n    78  52  906229  -3.45000000000000E+0001
b    79  52  908528   1.50000000000000E+0003
b    80  52  908517   2.81520000000000E+0005
b    81  52  910910   7.50000000000000E+0002
e    70  53  905594   4.75200000000000E+0004
e    71  53  906207   3.61152000000000E+0005
e    72  53  904620   5.20128000000000E+0006
e    73  53  905624   1.12320000000000E+0006
n    74  53  904473  -1.00000000000000E+0002
b    75  53  905810   1.50000000000000E+0003
b    76  53  904986   5.04000000000000E+0014
b    77  53  906713   4.46400000000000E+0004
b    78  53  906114   6.94655999999046E+0005
b    79  53  907987   8.28000000000000E+0003
e    67  54  911450   2.40600000000000E+0003
e    68  54  908170   7.23600000000000E+0004
e    69  54  908469   7.48800000000745E+0003
n    70  54  905894  -9.60000000000036E-0002
e    71  54  906397   6.12000000000000E+0004
n    72  54  904281  -9.00000000000318E-0002
e    73  54  905182   3.14496000000381E+0006
n    74  54  903531  -1.92000000000007E+0000
n    75  54  904780  -2.63999999999942E+0001
n    76  54  903509  -4.09999999999854E+0000
n    77  54  905072  -2.12000000000116E+0001
n    78  54  904144  -2.68999999999942E+0001
b    79  54  905888   4.53600000000000E+0005
n    80  54  905395  -1.03999999999942E+0001
b    81  54  907130   3.27600000000298E+0004
n    82  54  907214  -8.89999999999418E+0000
b    83  54  911557   2.29199999999953E+0002
e    75  55  906753   1.75200000000000E+0003
e    76  55  905444   8.37216000000000E+0005
e    77  55  906431   5.59008000000000E+0005
n    78  55  905429  -1.00000000000000E+0002
b    79  55  906696   6.48900000000610E+0007
b    80  55  905885   9.45000000000000E+0013
b    81  55  907289   1.13184000000000E+0006
b    82  55  907073   9.51300000000000E+0008
b    83  55  911004   1.93200000000000E+0003
e    71  56  911130   7.62000000000000E+0002
e    72  56  908237   2.09952000000000E+0005
e    73  56  908642   7.92000000000000E+0003
n    74  56  906282  -1.05999999999995E-0001
e    75  56  906902   1.03680000000000E+0006
n    76  56  905042  -1.00999999999999E-0001
e    77  56  905988   3.37050000000000E+0008
n    78  56  904486  -2.42000000000189E+0000
n    79  56  905665  -6.58999999999651E+0000
n    80  56  904553  -7.85000000000582E+0000
n    81  56  905812  -1.11999999999971E+0001
n    82  56  905232  -7.16999999999534E+0001
b    83  56  908826   4.97400000000000E+0003
b    84  56  910581   1.09728000000000E+0006
b    85  56  914363   1.09800000000000E+0003
e    78  57  906953   7.02000000000000E+0004
e    79  57  907630   5.92200000000186E+0002
e    80  57  906460   1.89000000000200E+0012
n    81  57  907105  -8.90000000000555E-0002
n    82  57  906347  -9.99100000000326E+0001
b    83  57  909471   1.45080000000000E+0005
b    84  57  910896   1.40400000000000E+0004
b    85  57  914090   5.46600000000000E+0003
e    75  58  911360   1.94400000000000E+0004
e    76  58  908890   2.73600000000000E+0005
e    77  58  909117   6.33600000000000E+0004
n    78  58  907140  -1.90000000000055E-0001
e    79  58  907780   3.24000000000000E+0004
n    80  58  905985  -2.53999999999905E-0001
e    81  58  906631   1.18540800000000E+0007
n    82  58  905433  -8.85000000000000E+0001
b    83  58  908271   2.80800000000000E+0006
n    84  58  909241  -1.11000000000058E+0001
b    85  58  912383   1.18800000000000E+0005
b    86  58  913643   2.45376000000000E+0007
b    87  58  917230   1.78800000000279E+0002
e    79  59  910748   8.69999999998836E+0001
e    80  59  908917   1.58400000000000E+0004
e    81  59  909071   2.03399999999907E+0002
n    82  59  907647  -1.00000000000000E+0002
b    83  59  910039   6.91200000000000E+0004
b    84  59  910814   1.17504000000000E+0006
b    85  59  913301   1.03800000000000E+0003
e    79  60  911920   1.78200000000000E+0003
e    80  60  909306   2.91168000000000E+0005
e    81  60  909594   9.00000000000000E+0003
n    82  60  907719  -2.72000000000116E+0001
n    83  60  908810  -1.21999999999971E+0001
n    84  60  910083  -2.37999999999884E+0001
n    85  60  912570  -8.30000000000291E+0000
n    86  60  913113  -1.72000000000116E+0001
b    87  60  916097   9.50400000000000E+0005
n    88  60  916889  -5.69999999999709E+0000
b    89  60  920145   6.22800000000745E+0003
n    90  60  920887  -5.59999999999854E+0000
b    91  60  923825   7.44000000000000E+0002
b    92  60  924680   6.84000000000000E+0002
e    81  61  912970   4.05000000000000E+0001
e    82  61  910930   2.28960000000000E+0007
e    83  61  912588   3.01536000000000E+0007
e    84  61  912743   5.57550000000000E+0008
e    85  61  914708   1.73250000000000E+0008
b    86  61  915135   8.25300000000000E+0007
b    87  61  917473   4.63968000000000E+0005
b    88  61  918332   1.91160000000000E+0005
b    89  61  920981   9.64800000000000E+0003
e    80  62  915206   4.35000000000000E+0003
e    81  62  914626   5.29799999999814E+0002
n    82  62  911998  -3.09999999999854E+0000
e    83  62  913409   2.93760000000000E+0007
a    84  62  913053   3.24450000000205E+0015
n    85  62  914894  -1.51000000000058E+0001
n    86  62  914819  -1.13000000000029E+0001
n    87  62  917180  -1.38999999999942E+0001
n    88  62  917273  -7.40000000000146E+0000
b    89  62  919929   2.83500000000000E+0009
n    90  62  919728  -2.66000000000058E+0001
b    91  62  922094   1.68480000000000E+0005
n    92  62  922205  -2.26000000000058E+0001
b    93  62  924636   1.34400000000000E+0003
e    85  63  918125   4.70880000000000E+0006
e    86  63  917926   8.04384000000000E+0006
e    87  63  919702   1.13400000000000E+0009
n    88  63  919847  -4.79000000000233E+0001
e    89  63  921742   4.09500000000000E+0008
n    90  63  921225  -5.20999999999767E+0001
b    91  63  922975   2.67750000000000E+0008
b    92  63  922889   1.54350000000000E+0008
b    93  63  924752   1.29600000000000E+0006
b    94  63  925418   5.40000000000000E+0004
e    85  64  919344   8.12159999999046E+0005
a    86  64  918662   5.67000000000640E+0013
e    87  64  920346   1.03680000000000E+0007
n    88  64  919786  -2.00000000000045E-0001
e    89  64  921745   2.09088000000000E+0007
n    90  64  920861  -2.09999999999854E+0000
n    91  64  922618  -1.48000000000029E+0001
n    92  64  922118  -2.06000000000058E+0001
n    93  64  923956  -1.56999999999971E+0001
n    94  64  924099  -2.47999999999884E+0001
b    95  64  926384   6.69600000000000E+0004
n    96  64  927049  -2.17999999999884E+0001
b    97  64  929664   2.22000000000000E+0002
